cycle,open_gpu_mib,closed_gpu_mib,closed_rss_mib
1,222,158,210
2,222,158,210
3,222,158,211
4,286,158,212
5,286,158,212
6,286,158,213
7,286,158,213
8,286,158,214
9,286,158,214
10,286,158,215
11,286,160,217
12,288,160,217
13,288,160,217
14,224,160,217
15,224,160,217
16,224,160,217
17,224,160,218
18,288,160,218
19,288,160,218
20,288,160,219
21,288,160,219
22,224,160,220
23,288,160,220
24,224,160,220
25,288,160,220
26,288,160,220
27,224,160,220
28,288,160,221
29,288,160,222
30,288,160,222
31,224,160,223
32,288,160,223
33,288,160,223
34,288,160,223
35,288,160,223
36,288,160,223
37,288,160,223
38,288,160,223
39,288,160,223
40,288,160,223
41,288,160,223
42,288,160,223
43,288,160,223
44,288,160,223
45,288,160,223
46,288,160,223
47,288,160,223
48,288,160,223
49,288,160,223
50,288,160,223
51,288,160,223
52,224,160,223
53,288,160,223
54,288,160,223
55,224,160,223
56,288,160,223
57,288,160,223
58,288,160,223
59,288,160,223
60,224,160,223
61,288,160,223
62,288,160,223
63,288,160,223
64,288,160,223
65,288,160,223
66,288,160,223
67,288,160,223
68,288,160,223
69,288,160,223
70,224,160,223
71,288,160,223
72,288,160,223
73,288,160,223
74,224,160,223
75,224,160,223
76,288,160,223
77,288,160,223
78,288,160,223
79,288,160,223
80,288,160,223
81,288,160,223
82,288,160,223
83,288,160,223
84,288,160,223
85,288,160,223
86,288,160,223
87,288,160,223
88,288,160,223
89,288,160,223
90,224,160,223
91,288,160,223
92,288,160,223
93,288,160,223
94,224,160,223
95,288,160,223
96,288,160,223
97,288,160,223
98,288,160,223
99,288,160,223
100,288,160,223
