cycle,open_gpu_mib,closed_gpu_mib,closed_rss_mib
1,286,158,214
2,286,158,215
3,286,158,216
4,286,158,217
5,286,158,218
6,286,158,218
7,286,158,218
8,286,158,219
9,286,158,220
10,286,158,221
11,286,158,221
12,286,158,221
13,286,158,221
14,286,158,222
15,286,158,222
16,286,158,222
17,286,158,222
18,286,158,222
19,286,158,222
20,286,158,223
21,286,158,223
22,286,158,223
23,286,158,223
24,286,158,223
25,286,158,223
26,286,158,223
27,286,158,224
28,286,158,224
29,286,158,224
30,286,158,224
31,286,158,224
32,286,158,224
33,286,158,224
34,286,158,224
35,286,158,224
36,286,158,224
37,286,158,224
38,286,158,224
39,286,158,224
40,286,158,224
41,286,158,224
42,286,158,224
43,286,158,224
44,286,158,224
45,286,158,224
46,286,158,224
47,286,158,224
48,286,158,224
49,286,158,224
50,286,158,224
51,286,158,224
52,286,158,224
53,286,158,225
54,286,158,225
55,286,158,225
56,286,158,225
57,286,158,225
58,286,158,225
59,286,158,225
60,286,158,225
61,286,158,225
62,286,158,225
63,286,158,225
64,286,158,225
65,286,158,225
66,286,158,225
67,286,158,225
68,286,158,225
69,286,158,225
70,286,158,225
71,286,158,225
72,286,158,225
73,286,158,225
74,286,160,226
75,288,160,226
76,288,160,226
77,288,160,195
78,288,160,175
79,288,160,176
80,288,160,177
81,288,160,178
82,288,160,180
83,288,160,181
84,288,160,182
85,288,160,183
86,288,160,183
87,288,160,184
88,288,160,184
89,288,160,184
90,288,160,184
91,288,160,184
92,288,160,184
93,288,160,185
94,288,160,185
95,288,160,185
96,288,160,185
97,288,160,185
98,288,160,185
99,288,160,186
100,288,160,186
