run,pane,kind,frames,frame_bytes,mb_per_s,fps,frame_ms_median,frame_ms_max,reattach_watched,new_sockets
1,hosted,kitty,40,3247164,149.4,46.0,21.6,23.6,no,
1,hosted,text,40,3304806,54.4,16.5,59.3,93.7,no,
2,hosted,kitty,40,3247164,110.2,33.9,27.1,62.9,yes,0
2,hosted,text,40,3304806,52.0,15.7,62.3,103.5,yes,0
3,window-owned,kitty,40,3247164,188.7,58.1,16.9,20.4,yes,0
3,window-owned,text,40,3304806,56.4,17.1,55.6,102.4,yes,0
4,window-owned,kitty,40,3247164,84.1,25.9,27.4,124.9,yes,0
4,window-owned,text,40,3304806,53.1,16.1,61.2,101.0,yes,0
5,hosted,kitty,200,3247164,116.8,36.0,23.4,137.2,yes,0
5,hosted,text,200,3304806,44.8,13.5,65.4,297.5,yes,0
